ST	CARRIER	PLANID	PLANNAME	NETWK	AREA	PREMI27	PREMI50	PREMC2C30	PREMI2C30	INMDI	INMDIA	INMDI_TIERS	INMDIA_2	INDDI	INDDIA	INIDI	INIDIA	ONMDI	ONMDIA	ONDDI	ONDDIA	ONIDI	ONIDIA	INMDF	INMDFA	INMDF_TIERS	INMDFA_2	INDDF	INDDFA	INIDF	INIDFA	ONMDF	ONMDFA	ONDDF	ONDDFA	ONIDF	ONIDFA	INMMOOPI	INMMOOPI_TIERS	INMMOOPI_2	INDMOOPI	INIMOOPI	ONMMOOPI	ONMMOOPIA	ONDMOOPI	ONIMOOPI	INMMOOPF	INMMOOPF_TIERS	INMMOOPF_2	INDMOOPF	INDMOOPFA	INIMOOPF	ONMMOOPF	ONMMOOPFA	ONDMOOPF	ONIMOOPF	INPCCP	INPCCPA	INPCCPSC	INPCCP_TIERS	INPCCPA_2	INPCCI	INPCCIA	INPCCIA_CP	INPCCI_TIERS	INPCCI_TIER2CP	INPCCI_TIER3CP	INPCCI_TIER4CP	INPCCI_TIER2CI	INPCCI_TIER3CI	INPCCI_TIER2	INPCCI_TIER3	INPCCI_TIER4	ONPCCP	ONPCCPA	ONPCCI	ONPCCIA	ONPCCI_PEN	ONPCCIA_CP	ONPCCIA_MIN	ONPCCIA_FIRST	ONPCCIA_SECOND	ONPCCIA_NONPREF	ONPCCIA_NONPART	ONPCCI_TIERS	ONPCCI_TIER2CI	ONPCCI_TIER2	ONPCCI_TIER3	INSCP	INSCPA	INSCP_TIERS	INSCPA_2	INSCI	INSCIA	INSCIA_CP	INSCI_TIERS	INSCI_TIER2CP	INSCI_TIER3CP	INSCI_TIER4CP	INSCI_TIER2CI	INSCI_TIER2	INSCI_TIER3	INSCI_TIER4	ONSCP	ONSCPA	ONSCI	ONSCIA	ONSCI_PEN	ONSCIA_CP	ONSCIA_MIN	ONSCIA_FIRST	ONSCIA_SECOND	ONSCIA_NONPREF	ONSCIA_NONPART	INERCP	INERCPA	INERCP_TIERS	INERCPA_2	INERCPA_3	INERCPA_4	INERCPA_FIRST	INERCI	INERCIA	INERCIA_CP	INERCI_TIERS	INERCI_TIER2CP	INERCI_TIER2CI	INERCI_TIER2	ONERCP	ONERCPA	ONERCP_FIRST	ONERCP_TIERS	ONERCPA_TIER2	ONERCPA_TIER3	ONERCPA_TIER4	ONERCI	ONERCIA	ONERCI_CP	ONERCI_EMC	ONERCIA_EMC	ONERCI_TIERS	ONERCI_TIER2	ONERCIA_TIER2	ONERCIA_TIER2CP	INIFCP	INIFCPA	INIFCI	INIFCIA	INIFCIA_CP	INIFCI_TIERS	INIFCI_TIER2CI	INIFCI_TIER3CI	INIFCI_TIER4CI	INIFCI_TIER2	INIFCI_TIER3	INIFCI_TIER4	ONIFCP	ONIFCPA	ONIFCI	ONIFCIA	ONIFCI_FEE	ONIFCIA_NONPREF	ONIFCIA_NONPART	ONIFCI_CP	INOFCP	INOFCPA	INOFCPA_ASC	INOFCP_TIERS	INOFCP_TIER2	INOFCP_TIER3	INOFCPA_TIER2CP	INOFCPA_TIER3CP	INOFCPA_MIN	INOFCPA_MAX	INOFCI	INOFCIA	INOFCIA_CP	INOFCIA_ASC	INOFCIA_ASC_CP	INOFCI_TIERS	INOFCI_TIER2CI	INOFCI_TIER3CI	INOFCI_TIER4CI	INOFCI_TIER2CP	INOFCI_TIER2	INOFCI_TIER3	INOFCI_TIER4	INOFCIA_MIND	INOFCIA_MAXD	INOFCIA_PREF	INOFCIA_ALT	ONOFCP	ONOFCPA	ONOFCP_ASC	ONOFCI	ONOFCIA	ONOFCI_CP	ONOFCI_FEE	ONOFCIA_NONPREF	ONOFCIA_NONPART	INGDCP	INGDCPA	INGDCP_TIERS	INGDCP_TIER2	INGDCP_TIER3	INGDCP_TIER4	INGDCP_TIER2CP	INGDCP_TIER3CP	INGDCP_TIER4CP	INGDCP_PCP	INGDCP_SP	INGDCI	INGDCIA	ONGDCP	ONGDCPA	ONGDCPA_NONPREF	ONGDCPA_COONP	ONGDCPA_NCOONP	ONGDCPA_FIRST	ONGDCPA_VALUE	ONGDCPA_SELECT	ONGDCI	ONGDCIA	ONGDCIA_CP	ONGDCI_TIERS	ONGDCI_TIER2	ONGDCIA_TIER2	ONGDCIA_TIER2CP	ONGDCIA_PEN	ONGDCIA_TIER2PEN	INPBDCP	INPBDCPA	INPBDCP_TIERS	INPBDCP_TIER2	INPBDCP_TIER3	INPBDCP_TIER4	INPBDCP_TIER2CP	INPBDCP_TIER3CP	INPBDCP_TIER4CP	INPBDCI	INPBDCIA	ONPBDCP	ONPBDCPA	ONPBDCPA_NONPREF	ONPBDCPA_COONP	ONPBDCPA_NCOONP	ONPBDCI	ONPBDCIA	ONPBDCIA_CP	ONPBDCIA_PEN	ONPBDCIA_MINCP	ONPBDCIA_MAXCP	INNBDCP	INNBDCPA	INNBDCP_TIERS	INNBDCP_TIER2	INNBDCP_TIER2CP	INNBDCI	INNBDCIA	INNBDCI_TIERS	INNBDCI_TIER2	INNBDCI_TIER3	INNBDCI_TIER4	INNBDCI_TIER2CI	INNBDCI_TIER3CI	INNBDCI_TIER4CI	INNBDCIA_MIN	ONNBDCP	ONNBDCPA	ONNBDCPA_NONPREF	ONNBDCPA_COONP	ONNBDCPA_NCOONP	ONNBDCI	ONNBDCIA	ONNBDCIA_CP	ONNBDCIA_PEN	ONNBDCIA_MINCP	ONNBDCIA_MAXCP	INSDCP	INSDCPA	INSDCP_TIERS	INSDCP_TIER2	INSDCP_TIER2CP	INSDCI	INSDCIA	INSDCI_TIERS	INSDCI_TIER2	INSDCI_TIER3	INSDCI_TIER4	INSDCI_TIER2CI	INSDCI_TIER3CI	INSDCI_TIER4CI	INSDCIA_MAX	ONSDCP	ONSDCPA	ONSDCPA_GEN	ONSDCPA_PB	ONSDCPA_NP	ONSDCI	ONSDCIA	ONSDCIA_CP	ONSDCIA_MAXCP	METAL	UNIQUEID
LA	Blue Cross Blue Shield Louisiana	97176LA0340010	Blue Max copay 70/50 $2500	1	8	268.64	457.81	907.42	616.48	1	2500	0		1	500	0		1	5000	1	500	0		1	7500	0		1	1500	0		1	15000	1	1500	0		6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	55	1		0			1								0		2	50								0		1					2	30		1				0			1				2	30				1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			2	10	1								0					2	10			S	LA_1_8_310
LA	HMO Louisiana, Inc	19636LA0220007	Blue POS copay 70/50 $3000	4	8	269.2	458.78	909.34	617.79	1	3000	0		1	500	0		1	6000	1	500	0		1	9000	0		1	1500	0		1	18000	1	1500	0		6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	60	1		0			1								0		2	50								1	150	1					0			1				4	150		1				0					1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			1	10	1								0					2	10			S	LA_4_8_311
LA	Blue Cross Blue Shield Louisiana	97176LA0340008	Blue Max 70/50 $1500	1	5	270.83	461.56	914.83	621.52	1	1500	0		1	500	0		1	3000	1	500	0		1	4500	0		1	1500	0		1	9000	1	1500	0		5000	1			5000	1	10000	2	10000	10000	1		2		10000	1	20000	2	20000	0			0		2	30		1									0		2	50								1				0		1		2	30		1								0		2	50								0		1					2	30		1				0			1				2	30				1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			2	10	1								0					2	10			S	LA_1_5_312
LA	Blue Cross Blue Shield Louisiana	97176LA0340010	Blue Max copay 70/50 $2500	1	5	271.54	462.75	917.22	623.14	1	2500	0		1	500	0		1	5000	1	500	0		1	7500	0		1	1500	0		1	15000	1	1500	0		6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	55	1		0			1								0		2	50								0		1					2	30		1				0			1				2	30				1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			2	10	1								0					2	10			S	LA_1_5_313
LA	HMO Louisiana, Inc	19636LA0220006	Blue POS copay 60/40 $2000	4	8	271.81	463.21	918.12	623.75	1	2000	0		1	500	0		1	4000	1	500	0		1	6000	0		1	1500	0		1	12000	1	1500	0		6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	60								1				1	60	1		0			1								0		2	60								1	150	1					0			1				4	150		1				0					1				0		2	40		1							0		2	60					0			1							2	40				1												0			2	60					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			1	10	1								0					2	10			S	LA_4_8_314
LA	Blue Cross Blue Shield Louisiana	97176LA0330002	Blue Cross and Blue Shield of Louisiana $2000, a Multi-State Plan	1	3	273.8	466.61	924.85	628.3200000000001	1	2000	0		0		0		1	4000	2		1	4000	1	6000	0		0		0		1	12000	2		1	12000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	55	1		0			1								0		2	50								0		1					2	30		1				0			1				2	30				1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			2	10	1								0					2	10			S	LA_1_3_315
LA	Blue Cross Blue Shield Louisiana	97176LA0330002	Blue Cross and Blue Shield of Louisiana $2000, a Multi-State Plan	1	4	276.64	471.47	934.5	634.88	1	2000	0		0		0		1	4000	2		1	4000	1	6000	0		0		0		1	12000	2		1	12000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	55	1		0			1								0		2	50								0		1					2	30		1				0			1				2	30				1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			2	10	1								0					2	10			S	LA_1_4_316
LA	HMO Louisiana, Inc	19636LA0220007	Blue POS copay 70/50 $3000	4	5	277.87	473.55	938.62	637.68	1	3000	0		1	500	0		1	6000	1	500	0		1	9000	0		1	1500	0		1	18000	1	1500	0		6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	60	1		0			1								0		2	50								1	150	1					0			1				4	150		1				0					1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			1	10	1								0					2	10			S	LA_4_5_317
LA	HMO Louisiana, Inc	19636LA0220006	Blue POS copay 60/40 $2000	4	5	280.56	478.13	947.68	643.83	1	2000	0		1	500	0		1	4000	1	500	0		1	6000	0		1	1500	0		1	12000	1	1500	0		6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	60								1				1	60	1		0			1								0		2	60								1	150	1					0			1				4	150		1				0					1				0		2	40		1							0		2	60					0			1							2	40				1												0			2	60					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			1	10	1								0					2	10			S	LA_4_5_318
LA	Blue Cross Blue Shield Louisiana	97176LA0330002	Blue Cross and Blue Shield of Louisiana $2000, a Multi-State Plan	1	6	282.62	481.63	954.64	648.55	1	2000	0		0		0		1	4000	2		1	4000	1	6000	0		0		0		1	12000	2		1	12000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	55	1		0			1								0		2	50								0		1					2	30		1				0			1				2	30				1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			2	10	1								0					2	10			S	LA_1_6_319
LA	Blue Cross Blue Shield Louisiana	97176LA0330002	Blue Cross and Blue Shield of Louisiana $2000, a Multi-State Plan	1	7	282.62	481.63	954.64	648.55	1	2000	0		0		0		1	4000	2		1	4000	1	6000	0		0		0		1	12000	2		1	12000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	55	1		0			1								0		2	50								0		1					2	30		1				0			1				2	30				1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			2	10	1								0					2	10			S	LA_1_7_320
LA	Blue Cross Blue Shield Louisiana	97176LA0330002	Blue Cross and Blue Shield of Louisiana $2000, a Multi-State Plan	1	1	285.47	486.5	964.28	655.11	1	2000	0		0		0		1	4000	2		1	4000	1	6000	0		0		0		1	12000	2		1	12000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	55	1		0			1								0		2	50								0		1					2	30		1				0			1				2	30				1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			2	10	1								0					2	10			S	LA_1_1_321
LA	Blue Cross Blue Shield Louisiana	97176LA0330002	Blue Cross and Blue Shield of Louisiana $2000, a Multi-State Plan	1	8	288.32	491.36	973.92	661.66	1	2000	0		0		0		1	4000	2		1	4000	1	6000	0		0		0		1	12000	2		1	12000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	55	1		0			1								0		2	50								0		1					2	30		1				0			1				2	30				1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			2	10	1								0					2	10			S	LA_1_8_322
LA	Blue Cross Blue Shield Louisiana	97176LA0330002	Blue Cross and Blue Shield of Louisiana $2000, a Multi-State Plan	1	5	291.43	496.66	984.42	668.79	1	2000	0		0		0		1	4000	2		1	4000	1	6000	0		0		0		1	12000	2		1	12000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	40	0	0		0			1									0		2	50								1				1	55	1		0			1								0		2	50								0		1					2	30		1				0			1				2	30				1				0		2	30		1							0		2	50					0			1							2	30				1												0			2	50					1	15	1									0		2	15							0			1						1	40	1							0		2	40				0						1	70	1			0		1								2	70				0						0		1			2	10	1								0					2	10			S	LA_1_5_323
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0540002	Essential 3000	1	6	200.79	342.19	678.26	460.8	1	3000	0		0		0		1	3500	2		1	3500	1	6000	0		0		0		1	7000	2		1	7000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	0			0		7	20	30	1									0		28	50								1				0		1		7	20	30	1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	15	1									0		72	15							0			1						1	40	1							0		72	40				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_6_324
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0540002	Essential 3000	1	5	235.59	401.48	795.78	540.64	1	3000	0		0		0		1	3500	2		1	3500	1	6000	0		0		0		1	7000	2		1	7000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	0			0		7	20	30	1									0		28	50								1				0		1		7	20	30	1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	15	1									0		72	15							0			1						1	40	1							0		72	40				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_5_325
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0540002	Essential 3000	1	7	241.63	411.78	816.2000000000001	554.51	1	3000	0		0		0		1	3500	2		1	3500	1	6000	0		0		0		1	7000	2		1	7000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	0			0		7	20	30	1									0		28	50								1				0		1		7	20	30	1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	15	1									0		72	15							0			1						1	40	1							0		72	40				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_7_326
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0540002	Essential 3000	1	4	241.63	411.78	816.2000000000001	554.51	1	3000	0		0		0		1	3500	2		1	3500	1	6000	0		0		0		1	7000	2		1	7000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	0			0		7	20	30	1									0		28	50								1				0		1		7	20	30	1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	15	1									0		72	15							0			1						1	40	1							0		72	40				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_4_327
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0540002	Essential 3000	1	1	277.87	473.54	938.62	637.68	1	3000	0		0		0		1	3500	2		1	3500	1	6000	0		0		0		1	7000	2		1	7000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	0			0		7	20	30	1									0		28	50								1				0		1		7	20	30	1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	15	1									0		72	15							0			1						1	40	1							0		72	40				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_1_328
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0540002	Essential 3000	1	2	302.02	514.72	1020.24	693.13	1	3000	0		0		0		1	3500	2		1	3500	1	6000	0		0		0		1	7000	2		1	7000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	0			0		7	20	30	1									0		28	50								1				0		1		7	20	30	1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	15	1									0		72	15							0			1						1	40	1							0		72	40				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_2_329
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0540002	Essential 3000	1	3	302.02	514.72	1020.24	693.13	1	3000	0		0		0		1	3500	2		1	3500	1	6000	0		0		0		1	7000	2		1	7000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	0			0		7	20	30	1									0		28	50								1				0		1		7	20	30	1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	15	1									0		72	15							0			1						1	40	1							0		72	40				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_3_330
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0550003	FitRewards 4000	1	6	209.75	357.45	708.5	481.34	1	4000	0		0		0		1	4500	2		1	4500	1	8000	0		0		0		1	9000	2		1	9000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	10	0	0		0			1									0		28	50								1				0		1		2	20		1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	10	1									0		72	10							0			1						1	45	1							0		72	45				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_6_331
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0550003	FitRewards 4000	1	5	246.09	419.39	831.26	564.74	1	4000	0		0		0		1	4500	2		1	4500	1	8000	0		0		0		1	9000	2		1	9000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	10	0	0		0			1									0		28	50								1				0		1		2	20		1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	10	1									0		72	10							0			1						1	45	1							0		72	45				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_5_332
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0550003	FitRewards 4000	1	7	252.4	430.14	852.6	579.24	1	4000	0		0		0		1	4500	2		1	4500	1	8000	0		0		0		1	9000	2		1	9000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	10	0	0		0			1									0		28	50								1				0		1		2	20		1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	10	1									0		72	10							0			1						1	45	1							0		72	45				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_7_333
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0550003	FitRewards 4000	1	4	252.4	430.14	852.6	579.24	1	4000	0		0		0		1	4500	2		1	4500	1	8000	0		0		0		1	9000	2		1	9000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	10	0	0		0			1									0		28	50								1				0		1		2	20		1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	10	1									0		72	10							0			1						1	45	1							0		72	45				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_4_334
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0550003	FitRewards 4000	1	1	290.26	494.66	980.48	666.12	1	4000	0		0		0		1	4500	2		1	4500	1	8000	0		0		0		1	9000	2		1	9000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	10	0	0		0			1									0		28	50								1				0		1		2	20		1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	10	1									0		72	10							0			1						1	45	1							0		72	45				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_1_335
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0550003	FitRewards 4000	1	2	315.5	537.67	1065.72	724.03	1	4000	0		0		0		1	4500	2		1	4500	1	8000	0		0		0		1	9000	2		1	9000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	10	0	0		0			1									0		28	50								1				0		1		2	20		1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	10	1									0		72	10							0			1						1	45	1							0		72	45				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_2_336
AZ	Blue Cross Blue Shield of Arizona, Inc.	53901AZ0550003	FitRewards 4000	1	3	315.5	537.67	1065.72	724.03	1	4000	0		0		0		1	4500	2		1	4500	1	8000	0		0		0		1	9000	2		1	9000	6350	1			6350	1	12700	2	12700	12700	1		2		12700	1	25400	2	25400	1	10	0	0		0			1									0		28	50								1				0		1		2	20		1								0		28	50								0		1					2	20		1				0			1				28	20				1				0		2	20		1							0		28	50					0			1							2	20				1												0			28	50					1	10	1									0		72	10							0			1						1	45	1							0		72	45				0						1	90	1			0		1								72	90				0						0		1			1	50	1								99					99				S	AZ_1_3_337
GA	Alliant Health Plans	83761GA0040015	SoloCare	1	3	247.67	422.09	836.62	568.38	1	4000	0		2		1	4000	1	12000	2		1	12000	1	8000	0		2		1	8000	1	24000	2		1	24000	6000	1			6000	1	18000	2	18000	12000	1		2		12000	1	36000	2	36000	1	25	0	0		0			1									0		2	40								1				1	60	1		0			1								0		2	40								1	250	1					0			1				0			1				7	20	250			1				0		2	20		1							0		2	40					0			1							2	20				1												0			2	40					1	10	1									0		2	10							0			1						1	49	1							0		2	49				0						1	100	1			0		1								2	100				0						1	250	1			0		1								2	250				0				S	GA_1_3_338
GA	Alliant Health Plans	83761GA0040010	SoloCare	1	3	258.1	439.85	871.83	592.3	1	2000	0		2		1	2000	1	6000	2		1	6000	1	4000	0		2		1	4000	1	12000	2		1	12000	6350	1			6350	1	19050	2	19050	12700	1		2		12700	1	38100	2	38100	1	30	0	0		0			1									0		2	40								1				1	50	1		0			1								0		2	40								1	250	1					0			1				2	250		1				0					1				0		2	20		1							0		2	40					0			1							2	20				1												0			2	40					1	10	1									0		2	10							0			1						1	49	1							0		2	49				0						1	100	1			0		1								2	100				0						1	300	1			0		1								2	300				0				S	GA_1_3_339
GA	Alliant Health Plans	83761GA0040015	SoloCare	1	10	261.43	445.54	883.09	599.96	1	4000	0		2		1	4000	1	12000	2		1	12000	1	8000	0		2		1	8000	1	24000	2		1	24000	6000	1			6000	1	18000	2	18000	12000	1		2		12000	1	36000	2	36000	1	25	0	0		0			1									0		2	40								1				1	60	1		0			1								0		2	40								1	250	1					0			1				0			1				7	20	250			1				0		2	20		1							0		2	40					0			1							2	20				1												0			2	40					1	10	1									0		2	10							0			1						1	49	1							0		2	49				0						1	100	1			0		1								2	100				0						1	250	1			0		1								2	250				0				S	GA_1_10_340
GA	Alliant Health Plans	83761GA0040010	SoloCare	1	10	272.44	464.29	920.24	625.1900000000001	1	2000	0		2		1	2000	1	6000	2		1	6000	1	4000	0		2		1	4000	1	12000	2		1	12000	6350	1			6350	1	19050	2	19050	12700	1		2		12700	1	38100	2	38100	1	30	0	0		0			1									0		2	40								1				1	50	1		0			1								0		2	40								1	250	1					0			1				2	250		1				0					1				0		2	20		1							0		2	40					0			1							2	20				1												0			2	40					1	10	1									0		2	10							0			1						1	49	1							0		2	49				0						1	100	1			0		1								2	100				0						1	300	1			0		1								2	300				0				S	GA_1_10_341
GA	Alliant Health Plans	83761GA0040015	SoloCare	1	7	275.19	468.99	929.56	631.52	1	4000	0		2		1	4000	1	12000	2		1	12000	1	8000	0		2		1	8000	1	24000	2		1	24000	6000	1			6000	1	18000	2	18000	12000	1		2		12000	1	36000	2	36000	1	25	0	0		0			1									0		2	40								1				1	60	1		0			1								0		2	40								1	250	1					0			1				0			1				7	20	250			1				0		2	20		1							0		2	40					0			1							2	20				1												0			2	40					1	10	1									0		2	10							0			1						1	49	1							0		2	49				0						1	100	1			0		1								2	100				0						1	250	1			0		1								2	250				0				S	GA_1_7_342
GA	Alliant Health Plans	83761GA0040015	SoloCare	1	9	275.19	468.99	929.56	631.52	1	4000	0		2		1	4000	1	12000	2		1	12000	1	8000	0		2		1	8000	1	24000	2		1	24000	6000	1			6000	1	18000	2	18000	12000	1		2		12000	1	36000	2	36000	1	25	0	0		0			1									0		2	40								1				1	60	1		0			1								0		2	40								1	250	1					0			1				0			1				7	20	250			1				0		2	20		1							0		2	40					0			1							2	20				1												0			2	40					1	10	1									0		2	10							0			1						1	49	1							0		2	49				0						1	100	1			0		1								2	100				0						1	250	1			0		1								2	250				0				S	GA_1_9_343
GA	Alliant Health Plans	83761GA0040010	SoloCare	1	7	286.77	488.73	968.68	658.09	1	2000	0		2		1	2000	1	6000	2		1	6000	1	4000	0		2		1	4000	1	12000	2		1	12000	6350	1			6350	1	19050	2	19050	12700	1		2		12700	1	38100	2	38100	1	30	0	0		0			1									0		2	40								1				1	50	1		0			1								0		2	40								1	250	1					0			1				2	250		1				0					1				0		2	20		1							0		2	40					0			1							2	20				1												0			2	40					1	10	1									0		2	10							0			1						1	49	1							0		2	49				0						1	100	1			0		1								2	100				0						1	300	1			0		1								2	300				0				S	GA_1_7_344
